,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
1,"Soho Cozy, Spacious and Convenient",Apartment,Hong Kong,CHN,22.28158,114.15027,Central & Western District,3,699.0,1.0,0.0,4,20,flexible,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",0,1.0,2.0,Entire home/apt,2018-03-27 04:00:00,3,100.0,1,Giovanni,51624384,False
2,Ribeira Charming Duplex,House,Portugal,PRT,41.1413,-8.61308,,8,80.0,6.0,15.0,2,30,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",239,3.0,5.0,Entire home/apt,2019-01-20 05:00:00,51,89.0,3,Ana&Gonçalo,51399391,True
4,Ocean View Waikiki Marina w/prkg,Condominium,United States of America,USA,21.28634,-157.83919,Oʻahu,2,115.0,1.0,0.0,3,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",343,1.0,1.0,Entire home/apt,2019-02-07 05:00:00,96,84.0,18,David,5448114,False
5,New York City - Upper West Side Apt,Apartment,United States of America,USA,40.79962,-73.96523,Manhattan,2,135.0,1.0,0.0,12,360,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",93,1.0,1.0,Private room,2018-08-12 04:00:00,70,94.0,3,Greta,454250,True
6,Private Room in Bushwick,Apartment,United States of America,USA,40.69791,-73.93615,Brooklyn,1,40.0,1.0,0.0,14,1125,flexible,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",0,1.0,1.0,Private room,2016-01-31 05:00:00,1,100.0,1,Josh,11275734,True
8,Be Happy in Porto,Loft,Portugal,PRT,41.15225,-8.61123,,2,30.0,1.0,0.0,2,1125,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",335,1.0,1.0,Entire home/apt,2019-02-09 05:00:00,178,97.0,3,Fábio,27518920,True
9,Catete's Colonial Big Hause Room B,House,Brazil,BRA,-22.92638234778768,-43.18015675229857,Catete,8,250.0,4.0,40.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",296,1.0,8.0,Private room,2016-02-10 05:00:00,1,80.0,5,Beatriz,51326285,True
12,Copacabana Apartment Posto 6,Apartment,Brazil,BRA,-22.984339360067814,-43.190849194463404,Copacabana,4,119.0,3.0,40.0,3,75,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",118,1.0,3.0,Entire home/apt,2019-01-28 05:00:00,70,98.0,2,Ana Valéria,51530266,True
15,Charming Flat in Downtown Moda,House,Turkey,TUR,40.98585,29.03133,Moda,6,527.0,1.0,211.0,2,1125,flexible,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",362,2.0,6.0,Entire home/apt,2016-04-02 04:00:00,1,100.0,2,Zeynep,1241644,True
16,Deluxe Loft Suite,Apartment,United States of America,USA,40.72778,-73.94472,Greenpoint,4,205.0,1.0,0.0,3,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",243,0.0,2.0,Entire home/apt,2018-02-18 05:00:00,5,88.0,13,Mae,47554473,False
18,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Australia,AUS,-33.87603,151.21346,Darlinghurst,2,185.0,1.0,0.0,2,30,moderate,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",265,1.0,1.0,Entire home/apt,2019-03-06 05:00:00,109,100.0,1,Desireé,16187044,True
19,Cozy house at Beyoğlu,Apartment,Turkey,TUR,41.03777,28.95825,Beyoglu,2,58.0,1.0,60.0,2,1125,flexible,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",37,1.0,1.0,Private room,2018-12-21 05:00:00,27,99.0,8,Ali,21331922,True
20,City center private room with bed,Guesthouse,Hong Kong,CHN,22.3314,114.1669,Sham Shui Po District,1,181.0,1.0,100.0,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",220,1.0,1.0,Private room,2019-03-01 05:00:00,81,92.0,2,Yi,51744313,True
